Customer,frequency,recency,T,monetary_value,probability_alive,pred_num_txn,exp_avg_sales,predicted_ltv,manual_predicted_ltv,CLV
Anacortes School District 103,31.0,1198.0,1242.0,31055.88806451613,0.9145639477234396,1.0,31118.23571161911,13301.24827068897,31118.23571161911,3458.3245503791322
Anchor Lutheran School,1.0,28.0,2012.0,1160.0,0.06620312535441293,0.0,1247.5746169101012,1.1342074420947148,0.0,0.29489393494462585
Anchorage School District,2.0,355.0,2156.0,1435.5,0.09447981141246453,0.0,1486.6722044800874,3.0518791583170697,0.0,0.7934885811624381
Anderson Elementary School,4.0,627.0,882.0,4193.675,0.6515708137474091,0.0,4262.1231334749245,252.0618778718571,0.0,65.53608824668285
Antelope Valley High School,5.0,455.0,1291.0,15085.560000000001,0.04849650179369098,0.0,15276.395591827995,58.078674592286525,0.0,15.100455393994498
Antelope Valley High School District,57.0,2004.0,2004.0,83579.2398245614,0.9816531463564802,1.0,83670.10065087175,44753.07791902078,83670.10065087175,11635.800258945404
Arlington School District 16,8.0,1088.0,1952.0,960.98375,0.09312380172743645,0.0,969.7855919983554,7.434477320850824,0.0,1.9329641034212144
Asa Mercer Middle School,2.0,329.0,2159.0,1538.5,0.08233220504345355,0.0,1592.9549089599636,2.8458244973263205,0.0,0.7399143693048433
Ashland Public Schools - District 5,1.0,203.0,297.0,76819.31,0.7556090325053527,0.0,81888.3104485247,4572.787761593083,0.0,1188.9248180142015
Aspen Elementary School,5.0,410.0,2178.0,2693.1,0.0021275085290634937,0.0,2728.916328475467,0.2778001174318936,0.0,0.07222803053229233
Assumption-St. Bridget School,2.0,148.0,1375.0,5467.775,0.06004513127669188,0.0,5647.459507456719,11.2802875934207,0.0,2.9328747742893824
Auburn Adventist Academy,1.0,6.0,392.0,650.0,0.3067055532667529,0.0,703.9961032529789,12.84034153466468,0.0,3.3384887990128167
"BES Electrical Services, LLC",2.0,112.0,526.0,9400.0,0.2627006885336395,0.0,9705.008125159451,200.613046383462,0.0,52.159392059700124
Bailey Charter Elementary School,1.0,398.0,2109.0,225.0,0.343557007832593,0.0,251.0140085387103,1.1321191250105203,0.0,0.2943509725027353
Baker School District 5J,14.0,2055.0,2184.0,2417.4121428571425,0.8729141861052755,0.0,2428.8798190021103,267.9978875992352,0.0,69.67945077580114
Bakersfield City School District,1.0,169.0,416.0,1175.0,0.6366292252287096,0.0,1263.5622202529576,45.58797773440801,0.0,11.852874210946082
Baldy Mesa Elementary School,1.0,22.0,1197.0,500.0,0.11787150834732799,0.0,544.1200698244135,1.4365684598246447,0.0,0.3735077995544076
Bassetti Architects,1.0,49.0,1512.0,800.0,0.11771045217242192,0.0,863.8721366815442,1.831034729781437,0.0,0.47606902974317367
