Customer,frequency,recency,T,monetary_value,probability_alive,pred_num_txn
Bohach Elementary School,2.0,71.0,218.0,18600.5,0.5274093590675771,0.0
Brea Olinda High School,2.0,456.0,1543.0,2012.0,0.27322483785595003,0.0
Brekke School,3.0,1155.0,2054.0,3049.6666666666665,0.49448254540689496,0.0
Bremerton School District 100-C,5.0,1259.0,2144.0,24422.0,0.3419335022131555,0.0
Bret Harte Union High School,3.0,512.0,1919.0,953.0,0.09066568216209359,0.0
Bret Harte Union High School District,15.0,1807.0,1816.0,9892.866666666667,0.939977675070478,0.0
Bridgeways Everett,0.0,0.0,1814.0,0.0,1.0,0.0
Brookings Harbor High School,1.0,44.0,976.0,339.0,0.1857214903050481,0.0
Brookings Harbor School District 17C,0.0,0.0,864.0,0.0,1.0,0.0
Buckeye Elementary School District,0.0,0.0,619.0,0.0,1.0,0.0
Bud Beasley Elementary School,9.0,1329.0,2178.0,2153.1111111111113,0.12124472819981169,0.0
Burbank Unified School District,0.0,0.0,2093.0,0.0,1.0,0.0
Bush School,3.0,421.0,555.0,4153.5,0.7404425586349809,0.0
Butler Creek Elementary School,0.0,0.0,1071.0,0.0,1.0,0.0
Byron Kibler Elementary School,0.0,0.0,1828.0,0.0,1.0,0.0
Calaveras County Office of Education,6.0,1173.0,2155.0,866.8333333333334,0.18033143214830574,0.0
Calaveras River Academy,0.0,0.0,819.0,0.0,1.0,0.0
Caldwell School District #132,0.0,0.0,1570.0,0.0,1.0,0.0
Calexico High School,2.0,21.0,581.0,4349.5,0.06191102421244425,0.0
Calexico Unified School District,2.0,792.0,1352.0,1213.5,0.622794797317605,0.0
Camas High School,0.0,0.0,1966.0,0.0,1.0,0.0
Camas School District 117,0.0,0.0,821.0,0.0,1.0,0.0
Camelot Elementary School,0.0,0.0,1953.0,0.0,1.0,0.0
Camerado Springs Middle School,2.0,273.0,1990.0,395.5,0.07096847951974279,0.0
Campus Canyon College Preparatory Academy,0.0,0.0,1858.0,0.0,1.0,0.0
Campus Security Solutions,2.0,321.0,1884.0,470.0,0.10535153256840145,0.0
Cantua Elementary School,3.0,553.0,2102.0,4766.39,0.08481584023220635,0.0
Canyon Creek Middle School,0.0,0.0,1760.0,0.0,1.0,0.0
Canyon Park Middle High School,0.0,0.0,2115.0,0.0,1.0,0.0
Capital High School,0.0,0.0,49.0,0.0,1.0,0.0
Captain Gray Stem Elementary School,0.0,0.0,66.0,0.0,1.0,0.0
Cardinal Newman High School,1.0,49.0,1808.0,2085.0,0.09451756541808194,0.0
Carl Sandburg Elem School,1.0,1779.0,1906.0,1550.0,0.8080644778930136,0.0
Carnation Elementary School,0.0,0.0,1520.0,0.0,1.0,0.0
Casa Roble Fundamental High School,1.0,792.0,2075.0,297.0,0.5579111567985999,0.0
Cascade Electri/Comm LLC,20.0,2067.0,2144.0,5258.736500000001,0.9119001575499597,0.0
Cascade Elementary School,0.0,0.0,1907.0,0.0,1.0,0.0
Cascades Academy,0.0,0.0,1722.0,0.0,1.0,0.0
Cashmere High School,0.0,0.0,2124.0,0.0,1.0,0.0
Caughlin Ranch Elementary School,4.0,265.0,1073.0,1759.75,0.03537565098979774,0.0
Cedar Crest Academy,9.0,1666.0,2107.0,882.8666666666666,0.582806894287091,0.0
Cedar Crest Academy - Redmond Campus,0.0,0.0,856.0,0.0,1.0,0.0
Cedar River Middle School,4.0,1006.0,2134.0,1029.25,0.23721079139770598,0.0
Cedarcrest High School,0.0,0.0,1871.0,0.0,1.0,0.0
Cedarcrest Middle School,0.0,0.0,2117.0,0.0,1.0,0.0
Centennial Elementary School,0.0,0.0,407.0,0.0,1.0,0.0
Central Elementary School,0.0,0.0,805.0,0.0,1.0,0.0
Central High School,1.0,700.0,1746.0,2150.0,0.5772948354255235,0.0
Central High School - West Campus,0.0,0.0,1872.0,0.0,1.0,0.0
Central Kitsap School District 401,12.0,1021.0,2107.0,45043.0625,0.002907733092329911,0.0
Central Point Elementary School,3.0,447.0,2044.0,2145.6666666666665,0.05174598913797433,0.0
Central Primary Center,2.0,84.0,2165.0,2205.42,0.010178447034505982,0.0
Central School District,0.0,0.0,997.0,0.0,1.0,0.0
Central Unified School District,4.0,441.0,2143.0,2532.2,0.011971280181284568,0.0
Central Washington University,3.0,1310.0,2186.0,2647.6666666666665,0.5440499848457557,0.0
Cesar Chavez Elementary School,1.0,426.0,2177.0,3165.0,0.35190638841638844,0.0
Chadwick School,0.0,0.0,1613.0,0.0,1.0,0.0
Chaffey Joint Union High School District,2.0,1519.0,2177.0,2182.0,0.7039279772294353,0.0
Chain Lake Elementary School,4.0,604.0,2124.0,1772.875,0.03982864607097016,0.0
Chaparral Middle School,0.0,0.0,2151.0,0.0,1.0,0.0
Charles Wright Academy,5.0,940.0,1248.0,2864.4,0.6611007252047302,0.0
Charleston Elementary School,1.0,902.0,1086.0,1099.0,0.7835133860584909,0.0
Charlie Keyan Armenian Community School,2.0,387.0,1934.0,563.5,0.13763626587410416,0.0
Cheney Kindergarten,1.0,56.0,1746.0,850.0,0.10527325672181198,0.0
Cherry Valley Elem School,1.0,440.0,1871.0,916.62,0.4104699785659339,0.0
Chestnut Hill Academy,18.0,1873.0,1939.0,6609.583333333333,0.9135973940903249,0.0
Chief Sealth High School,0.0,0.0,10.0,0.0,1.0,0.0
Chino Valley Unified School District,3.0,134.0,1711.0,1749.3333333333333,0.004738911094589962,0.0
Chinook Elementary School,0.0,0.0,2117.0,0.0,1.0,0.0
Chinook Public Schools,0.0,0.0,199.0,0.0,1.0,0.0
Chowchilla Elementary School District,27.0,1768.0,2142.0,1964.7037037037037,0.1507388999529035,0.0
Christa McAuliffe Elem School,6.0,1783.0,1877.0,676.1666666666666,0.867693192427332,0.0
Christa McAuliffe Elementary,3.0,1428.0,2026.0,3591.3333333333335,0.6697629022923048,0.0
City of Concord,0.0,0.0,1683.0,0.0,1.0,0.0
City of Monroe Public Works,4.0,796.0,1120.0,4060.2749999999996,0.6441629755291925,0.0
City of Mount Vernon,1.0,350.0,1094.0,4008.0,0.5245998022964227,0.0
Clara Barton Elementary School,1.0,42.0,906.0,52675.0,0.1975545020843481,0.0
Clark County Sheriff,0.0,0.0,2124.0,0.0,1.0,0.0
Clark Middle School,1.0,1431.0,2155.0,3225.0,0.7249499523544537,0.0
Clover Park School District 400,0.0,0.0,52.0,0.0,1.0,0.0
Clovis Elementary School,0.0,0.0,1940.0,0.0,1.0,0.0
Clovis Unified School District,9.0,1370.0,2185.0,877.1111111111111,0.14924565889999264,0.0
Coalinga Middle School,7.0,1805.0,2116.0,1544.7142857142858,0.7607818301821445,0.0
Coalinga-Huron Unified School District,24.0,1783.0,2162.0,14478.197916666666,0.21407359994846906,0.0
Coeur d'Alene Public Schools,1.0,400.0,409.0,1215.0,0.8185029517410112,0.0
Cold Springs Middle School,1.0,39.0,1928.0,1280.0,0.07890240437051223,0.0
Colina Middle School,2.0,101.0,1949.0,1076.75,0.01628231485906252,0.0
Colonial Acres Elementary School,0.0,0.0,1690.0,0.0,1.0,0.0
Colony High School,2.0,93.0,1879.0,269.0,0.01596773500903833,0.0
Colony Middle School,2.0,294.0,2173.0,672.5,0.0665903813516423,0.0
Columbia Basin College,1.0,230.0,282.0,1999.0,0.7881977139969253,0.0
